Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Budgeted Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","$600,000 ","$528,000 ","$300,000 ",50%,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,"1,000","$500,000 ","$440,000 ","$150,000 ",30%,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,"1,000","$400,000 ","$352,000 ","$140,000 ",35%,In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,850,"$382,500 ","$336,600 ","$133,875 ",35%,In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$475,200 ","$162,000 ",30%,In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","$500,000 ","$440,000 ","$125,000 ",25%,In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,250","$625,000 ","$550,000 ","$312,500 ",50%,In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,900,"$450,000 ","$396,000 ","$135,000 ",30%,Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"$380,000 ","$334,400 ","$133,000 ",35%,Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,825,"$371,250 ","$326,700 ","$129,938 ",35%,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$475,200 ","$162,000 ",30%,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","$500,000 ","$440,000 ","$125,000 ",25%,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,220","$610,000 ","$536,800 ","$305,000 ",50%,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,925,"$462,500 ","$407,000 ","$138,750 ",30%,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"$380,000 ","$334,400 ","$133,000 ",35%,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,800,"$360,000 ","$316,800 ","$126,000 ",35%,Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,850,"$510,000 ","$448,800 ","$153,000 ",30%,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,950,"$475,000 ","$418,000 ","$118,750 ",25%,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","$600,000 ","$528,000 ","$300,000 ",50%,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,900,"$450,000 ","$396,000 ","$135,000 ",30%,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,900,"$360,000 ","$316,800 ","$126,000 ",35%,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,825,"$371,250 ","$326,700 ","$129,938 ",35%,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,825,"$495,000 ","$435,600 ","$148,500 ",30%,Outlet
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,950,"$475,000 ","$418,000 ","$118,750 ",25%,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,220","$732,000 ","$644,160 ","$366,000 ",50%,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,925,"$508,750 ","$447,700 ","$152,625 ",30%,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,900,"$450,000 ","$396,000 ","$157,500 ",35%,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,850,"$425,000 ","$374,000 ","$148,750 ",35%,Outlet
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,875,"$525,000 ","$462,000 ","$157,500 ",30%,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ","$572,000 ","$162,500 ",25%,Outlet
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,250","$750,000 ","$660,000 ","$375,000 ",50%,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$484,000 ","$165,000 ",30%,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ","$407,000 ","$161,875 ",35%,Outlet
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$396,000 ","$157,500 ",35%,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$475,200 ","$162,000 ",30%,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,050","$682,500 ","$600,600 ","$170,625 ",25%,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,275","$765,000 ","$673,200 ","$382,500 ",50%,Outlet
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,025","$563,750 ","$496,100 ","$169,125 ",30%,Outlet
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"$475,000 ","$418,000 ","$166,250 ",35%,Outlet
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$396,000 ","$157,500 ",35%,Outlet
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,925,"$555,000 ","$488,400 ","$166,500 ",30%,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,100","$715,000 ","$629,200 ","$178,750 ",25%,Outlet
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,250","$750,000 ","$660,000 ","$375,000 ",50%,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,025","$563,750 ","$496,100 ","$169,125 ",30%,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"$475,000 ","$418,000 ","$166,250 ",35%,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,925,"$462,500 ","$407,000 ","$161,875 ",35%,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$475,200 ","$162,000 ",30%,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,075","$698,750 ","$614,900 ","$174,688 ",25%,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,200","$720,000 ","$633,600 ","$360,000 ",50%,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$484,000 ","$165,000 ",30%,Outlet
